Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-5318,RIC,Alta,"S/.299,802.00",Alta,11,28/12/2019,23/12/2020,19/03/2021,04/04/2021,13/03/2022,806
SDATOOL-7042,CIB,Alta,"S/.346,128.00",Alta,9,13/10/2020,07/08/2021,16/11/2021,26/11/2021,28/10/2022,745
SDATOOL-4237,RCS,Alta,"S/.221,099.00",Media,10,04/06/2019,11/12/2019,19/03/2020,07/04/2020,14/06/2021,741
SDATOOL-7379,RIC,Alta,"S/.363,118.00",Alta,10,12/01/2020,21/12/2020,25/01/2021,19/02/2021,21/12/2021,709
SDATOOL-1383,CIB,Alta,"S/.215,757.00",Alta,2,18/02/2020,10/12/2020,14/02/2021,23/02/2021,26/12/2021,677
SDATOOL-4350,ENG,Media,"S/.279,832.00",Alta,5,31/10/2023,29/10/2024,29/01/2025,17/02/2025,25/02/2025,483
SDATOOL-8181,ENG,Media,"S/.305,199.00",Alta,7,08/04/2022,07/04/2023,08/07/2023,01/08/2023,02/08/2023,481
SDATOOL-8826,FIN,Media,"S/.347,919.00",Alta,8,12/03/2019,02/03/2020,04/06/2020,25/06/2020,28/06/2020,474
SDATOOL-3204,ENG,Media,"S/.244,317.00",Alta,11,23/08/2023,11/08/2024,17/11/2024,03/12/2024,07/12/2024,472
SDATOOL-9017,FIN,Alta,"S/.368,047.00",Alta,10,19/08/2019,17/08/2020,20/11/2020,28/11/2020,02/12/2020,471
SDATOOL-2524,FIN,Media,"S/.220,349.00",Alta,8,25/12/2021,20/12/2022,22/03/2023,06/04/2023,10/04/2023,471
SDATOOL-2089,FIN,Media,"S/.228,972.00",Alta,8,10/03/2024,27/02/2025,07/06/2025,15/06/2025,23/06/2025,470
SDATOOL-2241,CIB,Media,"S/.237,568.00",Alta,10,08/11/2021,05/11/2022,11/02/2023,19/02/2023,20/02/2023,469
SDATOOL-6361,CCS,Baja,"S/.366,795.00",Alta,8,20/08/2022,19/08/2023,03/11/2023,24/11/2023,01/12/2023,468
SDATOOL-5452,FIN,Baja,"S/.359,358.00",Alta,6,18/06/2023,11/06/2024,31/08/2024,22/09/2024,28/09/2024,468
SDATOOL-2361,FIN,Alta,"S/.233,995.00",Alta,8,07/11/2022,29/10/2023,31/01/2024,11/02/2024,18/02/2024,468
SDATOOL-1596,ENG,Media,"S/.331,590.00",Alta,8,07/07/2019,29/06/2020,15/09/2020,11/10/2020,14/10/2020,465
SDATOOL-7380,CIB,Media,"S/.209,685.00",Alta,10,20/08/2020,09/08/2021,30/10/2021,20/11/2021,28/11/2021,465
SDATOOL-9940,FIN,Alta,"S/.295,905.00",Alta,7,24/04/2019,19/04/2020,05/07/2020,28/07/2020,31/07/2020,464
SDATOOL-7928,FIN,Baja,"S/.205,521.00",Alta,10,14/09/2019,23/08/2020,06/12/2020,15/12/2020,21/12/2020,464
SDATOOL-9621,GRM,Media,"S/.302,209.00",Alta,7,13/08/2020,28/07/2021,29/10/2021,12/11/2021,19/11/2021,463
SDATOOL-5003,T&C,Alta,"S/.270,248.00",Alta,8,06/04/2023,03/04/2024,03/07/2024,11/07/2024,12/07/2024,463
SDATOOL-5740,FIN,Baja,"S/.254,056.00",Alta,6,21/08/2023,06/08/2024,25/10/2024,19/11/2024,26/11/2024,463
SDATOOL-4941,RCS,Baja,"S/.370,234.00",Alta,6,21/05/2023,10/05/2024,10/08/2024,23/08/2024,25/08/2024,462
SDATOOL-9153,FIN,Media,"S/.234,450.00",Alta,10,20/07/2022,18/07/2023,19/09/2023,17/10/2023,25/10/2023,462
SDATOOL-1401,RCS,Media,"S/.276,070.00",Alta,8,09/06/2022,03/06/2023,29/08/2023,10/09/2023,13/09/2023,461
SDATOOL-2677,T&C,Baja,"S/.288,999.00",Alta,8,09/10/2019,22/09/2020,26/12/2020,10/01/2021,12/01/2021,461
SDATOOL-8658,RIC,Baja,"S/.218,568.00",Alta,7,23/12/2019,12/12/2020,03/03/2021,21/03/2021,28/03/2021,461
SDATOOL-1819,ENG,Media,"S/.258,412.00",Alta,10,07/02/2019,30/01/2020,24/04/2020,04/05/2020,10/05/2020,458
SDATOOL-3854,RIC,Media,"S/.235,063.00",Alta,2,21/02/2023,11/02/2024,03/05/2024,22/05/2024,24/05/2024,458
SDATOOL-1637,CCS,Media,"S/.211,707.00",Alta,8,18/07/2020,08/07/2021,08/10/2021,16/10/2021,19/10/2021,458
SDATOOL-1101,ENG,Media,"S/.349,557.00",Alta,8,16/04/2020,27/03/2021,18/06/2021,14/07/2021,17/07/2021,457
SDATOOL-5824,ENG,Media,"S/.317,736.00",Alta,7,26/11/2023,30/10/2024,05/02/2025,21/02/2025,25/02/2025,457
SDATOOL-2789,GRM,Alta,"S/.239,166.00",Alta,8,07/09/2023,22/08/2024,17/11/2024,05/12/2024,07/12/2024,457
SDATOOL-3628,T&C,Media,"S/.261,803.00",Alta,9,19/03/2024,15/03/2025,24/05/2025,17/06/2025,18/06/2025,456
SDATOOL-7443,RIC,Alta,"S/.289,237.00",Alta,10,09/04/2023,06/04/2024,02/06/2024,27/06/2024,07/07/2024,455
SDATOOL-4427,ENG,Baja,"S/.244,739.00",Alta,6,09/10/2020,13/09/2021,04/12/2021,31/12/2021,07/01/2022,455
SDATOOL-8584,T&C,Media,"S/.285,477.00",Alta,8,10/04/2021,31/03/2022,10/06/2022,05/07/2022,07/07/2022,453
SDATOOL-8896,RIC,Media,"S/.266,828.00",Alta,8,10/09/2019,03/09/2020,08/11/2020,29/11/2020,06/12/2020,453
SDATOOL-8219,RCS,Media,"S/.345,559.00",Alta,10,15/02/2020,19/01/2021,03/04/2021,02/05/2021,12/05/2021,452
SDATOOL-2718,GRM,Alta,"S/.346,479.00",Alta,7,11/11/2020,12/10/2021,09/01/2022,29/01/2022,06/02/2022,452
SDATOOL-7212,RIC,Baja,"S/.240,474.00",Alta,9,12/07/2020,02/07/2021,15/09/2021,29/09/2021,07/10/2021,452
SDATOOL-8581,RIC,Media,"S/.235,859.00",Alta,6,14/12/2020,05/12/2021,09/02/2022,04/03/2022,11/03/2022,452
SDATOOL-8589,CCS,Media,"S/.361,883.00",Alta,10,08/05/2020,09/04/2021,09/07/2021,28/07/2021,31/07/2021,449
SDATOOL-1259,RCS,Media,"S/.305,220.00",Alta,8,06/11/2023,20/10/2024,07/01/2025,27/01/2025,28/01/2025,449
SDATOOL-6985,CIB,Media,"S/.244,898.00",Alta,10,16/06/2020,05/06/2021,15/08/2021,07/09/2021,08/09/2021,449
SDATOOL-1954,FIN,Media,"S/.216,948.00",Alta,10,25/08/2023,22/07/2024,08/10/2024,06/11/2024,16/11/2024,449
SDATOOL-3677,RCS,Baja,"S/.380,140.00",Alta,6,12/11/2020,06/11/2021,10/01/2022,27/01/2022,02/02/2022,447
SDATOOL-8627,FIN,Alta,"S/.311,959.00",Alta,10,16/03/2019,06/03/2020,13/05/2020,30/05/2020,05/06/2020,447
SDATOOL-6765,RIC,Media,"S/.269,449.00",Alta,9,02/09/2020,19/08/2021,31/10/2021,14/11/2021,23/11/2021,447
SDATOOL-1041,CCS,Media,"S/.216,966.00",Alta,6,10/03/2023,06/02/2024,23/04/2024,20/05/2024,30/05/2024,447
SDATOOL-7754,GRM,Media,"S/.220,374.00",Alta,10,04/04/2021,10/03/2022,03/06/2022,17/06/2022,25/06/2022,447
SDATOOL-9484,RIC,Media,"S/.388,534.00",Alta,7,22/08/2022,08/08/2023,24/10/2023,06/11/2023,10/11/2023,445
SDATOOL-3528,T&C,Alta,"S/.229,103.00",Alta,10,14/06/2019,09/05/2020,21/08/2020,28/08/2020,01/09/2020,445
SDATOOL-2162,GRM,Alta,"S/.236,323.00",Alta,9,30/07/2019,22/07/2020,24/09/2020,15/10/2020,17/10/2020,445
SDATOOL-9521,RCS,Baja,"S/.282,431.00",Alta,7,08/09/2023,16/08/2024,26/10/2024,19/11/2024,25/11/2024,444
SDATOOL-8733,ENG,Alta,"S/.268,242.00",Alta,10,16/01/2022,18/12/2022,05/03/2023,26/03/2023,05/04/2023,444
SDATOOL-3997,RCS,Baja,"S/.256,059.00",Alta,10,14/03/2022,08/03/2023,01/05/2023,28/05/2023,01/06/2023,444
SDATOOL-8311,RCS,Baja,"S/.234,792.00",Alta,7,22/01/2023,08/01/2024,15/03/2024,09/04/2024,10/04/2024,444
SDATOOL-8749,CIB,Media,"S/.232,631.00",Alta,6,10/05/2023,22/04/2024,25/06/2024,18/07/2024,27/07/2024,444
SDATOOL-2625,CCS,Baja,"S/.223,205.00",Alta,8,14/04/2021,12/03/2022,12/06/2022,01/07/2022,02/07/2022,444
SDATOOL-7747,GRM,Media,"S/.226,945.00",Alta,9,15/02/2021,06/01/2022,02/04/2022,29/04/2022,05/05/2022,444
SDATOOL-5245,FIN,Media,"S/.219,891.00",Alta,8,06/07/2024,28/05/2025,23/08/2025,19/09/2025,22/09/2025,443
SDATOOL-3283,ENG,Baja,"S/.327,495.00",Alta,7,20/02/2024,23/01/2025,07/04/2025,02/05/2025,07/05/2025,442
SDATOOL-4757,ENG,Baja,"S/.231,621.00",Alta,8,15/06/2022,18/05/2023,11/08/2023,29/08/2023,31/08/2023,442
SDATOOL-6076,GRM,Media,"S/.359,662.00",Alta,10,23/01/2022,02/01/2023,20/03/2023,02/04/2023,08/04/2023,440
SDATOOL-8557,ENG,Media,"S/.364,602.00",Alta,8,17/08/2020,05/07/2021,07/10/2021,21/10/2021,31/10/2021,440
SDATOOL-1185,ENG,Baja,"S/.352,579.00",Alta,9,06/08/2020,17/07/2021,17/09/2021,15/10/2021,19/10/2021,439
SDATOOL-3839,CIB,Media,"S/.240,268.00",Alta,9,06/06/2019,25/05/2020,05/08/2020,15/08/2020,18/08/2020,439
SDATOOL-6241,ENG,Alta,"S/.235,375.00",Alta,9,20/01/2024,28/12/2024,12/03/2025,30/03/2025,03/04/2025,439
SDATOOL-1892,ENG,Media,"S/.268,147.00",Alta,7,13/07/2019,14/06/2020,16/08/2020,13/09/2020,23/09/2020,438
SDATOOL-6047,RCS,Media,"S/.276,828.00",Alta,8,26/08/2019,21/07/2020,21/10/2020,31/10/2020,06/11/2020,438
SDATOOL-1047,RCS,Media,"S/.258,048.00",Alta,9,22/10/2022,27/09/2023,17/12/2023,25/12/2023,03/01/2024,438
SDATOOL-4656,CCS,Media,"S/.306,779.00",Alta,10,25/10/2022,13/09/2023,01/12/2023,26/12/2023,05/01/2024,437
SDATOOL-6223,CCS,Media,"S/.218,628.00",Alta,10,30/03/2022,26/02/2023,15/05/2023,02/06/2023,10/06/2023,437
SDATOOL-3121,ENG,Media,"S/.356,020.00",Alta,10,28/03/2021,22/03/2022,26/05/2022,02/06/2022,07/06/2022,436
SDATOOL-8167,GRM,Media,"S/.382,330.00",Alta,9,25/06/2020,18/06/2021,04/08/2021,30/08/2021,03/09/2021,435
SDATOOL-3714,RIC,Media,"S/.326,954.00",Alta,9,16/12/2019,02/12/2020,23/01/2021,15/02/2021,23/02/2021,435
SDATOOL-5886,ENG,Alta,"S/.327,616.00",Alta,9,06/09/2023,24/07/2024,16/10/2024,03/11/2024,13/11/2024,434
SDATOOL-4696,ENG,Alta,"S/.310,752.00",Alta,7,17/11/2023,13/11/2024,07/01/2025,23/01/2025,24/01/2025,434
SDATOOL-5633,FIN,Media,"S/.294,730.00",Alta,9,11/01/2020,28/11/2020,01/03/2021,16/03/2021,20/03/2021,434
SDATOOL-8019,FIN,Media,"S/.230,088.00",Alta,6,30/06/2023,13/06/2024,25/08/2024,01/09/2024,06/09/2024,434
SDATOOL-7990,CIB,Baja,"S/.337,490.00",Alta,8,19/03/2022,03/02/2023,18/04/2023,17/05/2023,26/05/2023,433
SDATOOL-3757,RCS,Baja,"S/.259,270.00",Alta,9,07/08/2020,02/07/2021,24/09/2021,10/10/2021,14/10/2021,433
SDATOOL-1559,ENG,Alta,"S/.254,900.00",Alta,7,20/07/2024,14/07/2025,27/08/2025,19/09/2025,26/09/2025,433
SDATOOL-4668,CIB,Media,"S/.262,854.00",Alta,7,27/09/2021,20/09/2022,10/11/2022,28/11/2022,03/12/2022,432
SDATOOL-6494,FIN,Media,"S/.216,992.00",Alta,10,30/05/2022,19/05/2023,13/07/2023,28/07/2023,05/08/2023,432
SDATOOL-1009,CCS,Media,"S/.227,072.00",Alta,8,17/07/2020,26/06/2021,05/09/2021,12/09/2021,21/09/2021,431
SDATOOL-1417,CIB,Media,"S/.213,913.00",Alta,9,09/11/2022,22/09/2023,21/12/2023,06/01/2024,14/01/2024,431
SDATOOL-9455,CCS,Alta,"S/.201,736.00",Alta,9,16/10/2019,05/09/2020,17/11/2020,12/12/2020,20/12/2020,431
SDATOOL-2204,ENG,Alta,"S/.361,753.00",Alta,7,25/01/2024,12/12/2024,13/03/2025,20/03/2025,30/03/2025,430
SDATOOL-5523,FIN,Alta,"S/.364,211.00",Alta,7,13/11/2021,03/10/2022,19/12/2022,16/01/2023,17/01/2023,430
SDATOOL-2092,ENG,Media,"S/.339,671.00",Alta,7,19/02/2023,07/01/2024,18/03/2024,16/04/2024,24/04/2024,430
SDATOOL-1724,CCS,Media,"S/.348,400.00",Alta,7,08/07/2022,29/05/2023,21/08/2023,06/09/2023,11/09/2023,430
SDATOOL-1499,FIN,Alta,"S/.295,983.00",Alta,10,07/02/2022,03/01/2023,31/03/2023,09/04/2023,13/04/2023,430
SDATOOL-6387,CIB,Media,"S/.235,292.00",Alta,8,27/03/2021,06/02/2022,28/04/2022,23/05/2022,31/05/2022,430
SDATOOL-1232,RIC,Baja,"S/.331,683.00",Alta,10,17/01/2022,30/12/2022,02/03/2023,18/03/2023,22/03/2023,429
SDATOOL-8811,GRM,Baja,"S/.290,066.00",Alta,9,22/11/2020,01/11/2021,05/01/2022,22/01/2022,25/01/2022,429
SDATOOL-5649,FIN,Alta,"S/.224,938.00",Alta,7,03/08/2019,26/07/2020,19/09/2020,27/09/2020,05/10/2020,429
SDATOOL-7403,RCS,Alta,"S/.220,452.00",Alta,8,03/04/2024,25/03/2025,08/05/2025,02/06/2025,06/06/2025,429
SDATOOL-7974,CCS,Alta,"S/.375,708.00",Alta,7,10/09/2023,06/08/2024,03/10/2024,01/11/2024,11/01/2025,428
SDATOOL-3559,ENG,Baja,"S/.253,324.00",Alta,7,19/10/2023,11/10/2024,05/12/2024,16/12/2024,20/12/2024,428
SDATOOL-6735,RCS,Media,"S/.308,957.00",Alta,10,27/12/2021,13/12/2022,25/01/2023,17/02/2023,27/02/2023,427
SDATOOL-7029,ENG,Baja,"S/.313,109.00",Alta,6,01/06/2024,25/04/2025,25/06/2025,23/07/2025,02/08/2025,427
SDATOOL-6629,CIB,Media,"S/.258,496.00",Alta,6,27/04/2019,01/03/2020,25/05/2020,21/06/2020,27/06/2020,427
SDATOOL-6959,CCS,Alta,"S/.236,380.00",Alta,6,03/10/2021,21/09/2022,08/11/2022,25/11/2022,04/12/2022,427
