Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-9003,CCS,Alta,97666,Baja,2,14/11/2020,18/01/2021,12/12/2020,03/01/2021,07/01/2021,54
SDATOOL-5237,RIC,Media,358724,Alta,9,25/05/2019,28/02/2020,07/04/2020,06/05/2020,12/05/2020,353
SDATOOL-1239,ENG,Media,342135,Alta,8,04/12/2020,23/09/2021,27/10/2021,15/11/2021,16/11/2021,347
SDATOOL-8356,T&C,Alta,195593,Media,7,01/01/2023,28/06/2023,16/06/2023,06/07/2023,15/07/2023,195
SDATOOL-3350,CIB,Media,266039,Alta,4,13/11/2023,02/09/2024,08/09/2024,23/09/2024,28/09/2024,320
SDATOOL-8013,CCS,Media,219780,Media,9,30/12/2020,17/08/2021,25/09/2021,20/10/2021,30/10/2021,304
SDATOOL-4135,CCS,Baja,72374,Baja,1,21/01/2024,02/05/2024,09/05/2024,21/05/2024,22/05/2024,122
SDATOOL-6252,GRM,Baja,80906,Baja,1,01/02/2019,29/04/2019,01/04/2019,23/04/2019,30/04/2019,88
SDATOOL-4853,T&C,Baja,164325,Baja,10,18/06/2021,04/10/2021,11/09/2021,01/10/2021,07/10/2021,111
SDATOOL-1675,FIN,Baja,118643,Media,1,01/03/2022,15/08/2022,12/08/2022,04/09/2022,10/09/2022,193
SDATOOL-5392,FIN,Media,95030,Baja,3,09/01/2023,01/06/2023,25/04/2023,04/05/2023,07/05/2023,118
SDATOOL-7425,T&C,Alta,165663,Media,5,29/11/2019,07/08/2020,02/07/2020,12/07/2020,21/07/2020,235
SDATOOL-5362,GRM,Alta,291121,Alta,6,01/11/2024,19/09/2025,06/09/2025,9/23/2025,26/09/2025,329
SDATOOL-3831,FIN,Media,244763,Alta,3,29/10/2022,13/09/2023,12/09/2023,28/09/2023,01/10/2023,337
SDATOOL-6889,RIC,Media,354831,Alta,9,26/04/2023,09/02/2024,16/02/2024,24/02/2024,25/02/2024,305
SDATOOL-7545,FIN,Alta,128156,Baja,7,27/04/2022,10/08/2022,29/08/2022,05/09/2022,06/09/2022,132
SDATOOL-9920,FIN,Media,218567,Alta,1,07/02/2023,19/12/2023,13/02/2024,09/03/2024,12/03/2024,399
SDATOOL-1585,FIN,Alta,159328,Baja,10,18/11/2020,18/02/2021,13/05/2021,31/05/2021,02/06/2021,196
SDATOOL-3040,CIB,Alta,226353,Media,10,01/07/2019,20/01/2020,14/02/2020,23/02/2020,27/02/2020,241
SDATOOL-7914,T&C,Media,265298,Alta,4,18/03/2023,26/01/2024,29/02/2024,07/03/2024,08/03/2024,356
SDATOOL-7090,FIN,Media,236139,Alta,2,10/11/2022,23/08/2023,12/08/2023,21/08/2023,25/08/2023,288
SDATOOL-9327,CIB,Media,179674,Media,6,03/04/2021,19/11/2021,20/11/2021,11/12/2021,12/12/2021,253
SDATOOL-1818,FIN,Media,295240,Alta,5,20/12/2023,01/11/2024,26/10/2024,06/11/2024,16/11/2024,332
SDATOOL-4909,CIB,Baja,193588,Media,7,10/06/2023,14/02/2024,22/01/2024,03/02/2024,09/02/2024,244
SDATOOL-5380,ENG,Media,83034,Baja,2,06/09/2021,01/01/2022,03/01/2022,13/01/2022,18/01/2022,134
SDATOOL-2224,CCS,Alta,217080,Media,8,09/04/2024,21/09/2024,29/08/2024,26/09/2024,28/09/2024,172
SDATOOL-5875,GRM,Media,171282,Media,5,03/08/2023,28/04/2024,10/03/2024,27/03/2024,03/04/2024,244
SDATOOL-8221,RIC,Alta,98878,Baja,2,16/05/2020,29/08/2020,12/08/2020,19/08/2020,24/08/2020,100
SDATOOL-1350,ENG,Baja,176968,Media,5,31/12/2021,23/07/2022,20/06/2022,07/07/2022,11/07/2022,192
SDATOOL-5917,CCS,Media,207427,Media,8,08/03/2022,01/11/2022,25/01/2023,22/02/2023,27/02/2023,356
SDATOOL-1504,ENG,Alta,218960,Alta,2,01/01/2019,05/11/2019,17/04/2019,16/05/2019,17/05/2019,136
SDATOOL-3298,RIC,Media,188197,Media,7,17/12/2021,07/06/2022,19/06/2022,28/06/2022,29/06/2022,194
SDATOOL-7471,FIN,Baja,172999,Media,5,08/04/2020,22/11/2020,20/11/2020,12/12/2020,18/12/2020,254
SDATOOL-4263,RIC,Baja,158393,Media,4,07/07/2024,27/03/2025,09/03/2025,29/03/2025,07/04/2025,274
SDATOOL-4433,ENG,Alta,363036,Alta,9,25/08/2022,19/06/2023,07/06/2023,27/06/2023,06/07/2023,315
SDATOOL-7959,CIB,Alta,240413,Alta,3,01/01/2019,24/11/2019,03/08/2019,27/08/2019,03/09/2019,245
SDATOOL-5024,CIB,Alta,206011,Media,9,25/05/2019,13/12/2019,07/12/2019,29/12/2019,03/01/2020,223
SDATOOL-3846,T&C,Baja,182825,Media,5,19/02/2024,07/10/2024,03/09/2024,23/09/2024,30/09/2024,224
SDATOOL-1482,CCS,Media,108732,Baja,6,22/10/2019,01/03/2020,30/01/2020,17/02/2020,20/02/2020,121
SDATOOL-7390,FIN,Media,336679,Alta,8,15/06/2019,27/04/2020,21/04/2020,15/05/2020,23/05/2020,343
SDATOOL-9963,FIN,Alta,179621,Media,7,23/11/2023,04/06/2024,15/04/2024,26/04/2024,05/05/2024,164
SDATOOL-1420,RCS,Alta,187362,Media,6,06/07/2023,30/01/2024,21/01/2024,30/01/2024,09/02/2024,218
SDATOOL-1329,ENG,Baja,211105,Media,9,30/11/2024,13/06/2025,10/06/2025,07/07/2025,11/07/2025,223
SDATOOL-8436,GRM,Media,348760,Alta,8,07/09/2021,13/06/2022,04/07/2022,27/07/2022,30/07/2022,326
SDATOOL-7334,T&C,Media,183105,Media,5,01/02/2022,27/10/2022,18/10/2022,27/10/2022,30/10/2022,271
SDATOOL-2148,T&C,Media,110381,Baja,5,21/09/2024,08/12/2024,01/11/2024,13/11/2024,20/11/2024,60
SDATOOL-5317,RCS,Baja,162950,Media,4,06/10/2022,13/06/2023,25/05/2023,16/06/2023,25/06/2023,262
SDATOOL-6283,ENG,Alta,149189,Media,4,27/12/2023,03/09/2024,29/08/2024,23/09/2024,28/09/2024,276
SDATOOL-4702,ENG,Media,185760,Media,7,26/08/2023,04/04/2024,26/02/2024,08/03/2024,17/03/2024,204
SDATOOL-8752,ENG,Media,130683,Baja,9,13/10/2020,25/12/2020,31/12/2020,21/01/2021,31/01/2021,110
SDATOOL-5165,FIN,Alta,256914,Alta,3,20/07/2024,27/04/2025,30/04/2025,11/05/2025,17/05/2025,301
SDATOOL-2187,ENG,Media,243668,Alta,3,02/03/2022,25/02/2023,17/03/2023,14/04/2023,16/04/2023,410
SDATOOL-3592,ENG,Alta,194884,Media,7,12/11/2020,15/05/2021,25/04/2021,02/05/2021,10/05/2021,179
SDATOOL-6522,FIN,Baja,124247,Media,1,20/06/2024,25/12/2024,27/11/2024,19/12/2024,28/12/2024,191
SDATOOL-9421,T&C,Alta,310703,Alta,6,06/07/2024,16/04/2025,10/06/2025,20/06/2025,29/06/2025,358
SDATOOL-6607,FIN,Alta,94860,Baja,1,20/08/2020,07/11/2020,30/10/2020,16/11/2020,21/11/2020,93
SDATOOL-1990,ENG,Media,234973,Alta,2,17/03/2019,24/12/2019,26/01/2020,23/02/2020,27/02/2020,347
SDATOOL-7505,T&C,Media,100221,Baja,5,16/10/2019,31/12/2019,30/12/2019,16/01/2020,23/01/2020,99
SDATOOL-7840,RCS,Baja,293630,Alta,6,19/05/2019,17/02/2020,29/01/2020,10/02/2020,20/02/2020,277
SDATOOL-3393,FIN,Alta,101153,Baja,2,05/02/2023,28/04/2023,26/04/2023,14/05/2023,18/05/2023,102
SDATOOL-5253,T&C,Media,281736,Alta,5,01/01/2019,11/11/2019,15/10/2019,13/11/2019,17/11/2019,320
SDATOOL-6230,FIN,Media,116764,Baja,6,25/08/2023,15/11/2023,12/10/2023,23/10/2023,01/11/2023,68
SDATOOL-5818,CIB,Alta,307463,Alta,7,19/05/2019,07/03/2020,02/02/2020,01/03/2020,07/03/2020,293
SDATOOL-3920,RCS,Media,136317,Media,1,16/05/2020,16/11/2020,06/10/2020,03/11/2020,05/11/2020,173
SDATOOL-9320,RCS,Alta,137278,Media,1,11/06/2022,07/03/2023,31/01/2023,12/02/2023,14/02/2023,248
SDATOOL-7017,FIN,Baja,137982,Media,1,28/11/2024,17/05/2025,21/05/2025,05/06/2025,13/06/2025,197
SDATOOL-8690,RCS,Alta,125090,Media,2,01/01/2019,14/09/2019,15/07/2019,26/07/2019,04/08/2019,215
SDATOOL-7302,CCS,Baja,268393,Alta,4,18/01/2022,19/11/2022,02/02/2023,01/03/2023,09/03/2023,415
SDATOOL-7539,RIC,Alta,105624,Baja,6,31/01/2025,25/06/2025,13/06/2025,06/07/2025,07/07/2025,157
SDATOOL-4320,RCS,Media,195494,Media,7,28/01/2020,12/08/2020,07/07/2020,25/07/2020,04/08/2020,189
SDATOOL-1852,ENG,Media,128104,Media,2,25/01/2022,17/07/2022,05/07/2022,24/07/2022,28/07/2022,184
SDATOOL-8762,RCS,Media,193863,Media,6,01/01/2019,01/08/2019,29/05/2019,25/06/2019,28/06/2019,178
SDATOOL-8952,FIN,Media,229477,Alta,2,20/10/2023,15/08/2024,08/08/2024,30/08/2024,03/09/2024,319
SDATOOL-1764,FIN,Media,129679,Media,1,28/08/2022,05/04/2023,05/03/2023,27/03/2023,01/04/2023,216
SDATOOL-6929,RIC,Media,228829,Media,10,15/01/2020,08/07/2020,28/06/2020,20/07/2020,26/07/2020,193
SDATOOL-9017,FIN,Alta,368047,Alta,10,19/08/2019,17/08/2020,20/11/2020,28/11/2020,02/12/2020,471
SDATOOL-9331,ENG,Alta,141001,Baja,9,12/07/2020,11/11/2020,06/11/2020,15/11/2020,18/11/2020,129
SDATOOL-8351,CIB,Media,369979,Alta,10,01/01/2019,08/11/2019,07/05/2019,01/06/2019,10/06/2019,160
SDATOOL-2507,ENG,Baja,239455,Media,10,29/06/2019,03/01/2020,15/12/2019,03/01/2020,08/01/2020,193
SDATOOL-3779,ENG,Baja,175663,Media,6,29/12/2019,19/07/2020,31/05/2020,18/06/2020,20/06/2020,174
SDATOOL-1747,ENG,Media,218325,Media,9,16/10/2024,05/04/2025,11/05/2025,26/05/2025,05/06/2025,232
SDATOOL-3070,GRM,Media,363112,Alta,10,28/06/2021,30/03/2022,09/03/2022,19/03/2022,20/03/2022,265
