Código de proyecto;Área;Prioridad;Presupuesto;Complejidad técnica;Número de dependencias asociadas;Time to market teórico en Q's;Fecha de inicio de ejecución;Fecha fin de ejecución;Fecha pase a producción;Fecha de uso por el personal;Time to market
SDATOOL-1639;RIC;Alta;166218;Media;2;4;01/01/2019;18/10/2019;13/11/2019;19/11/2019;322
SDATOOL-5160;T&C;Media;92827;Alta;4;1;16/03/2020;10/07/2020;26/07/2020;27/07/2020;132
SDATOOL-6026;CCS;Media;33645;Media;1;1;15/02/2021;29/04/2021;23/05/2021;31/05/2021;104
SDATOOL-1650;RCS;Media;117176;Media;5;2;17/10/2019;08/04/2020;26/04/2020;03/05/2020;198
SDATOOL-4567;T&C;Baja;122651;Media;8;2;17/10/2021;21/06/2022;11/07/2022;20/07/2022;275
SDATOOL-6867;ENG;Alta;323904;Alta;8;3;02/09/2024;24/08/2025;17/09/2025;24/09/2025;386
SDATOOL-1324;RCS;Alta;124691;Baja;7;3;01/01/2019;06/04/2019;13/04/2019;15/04/2019;104
SDATOOL-5474;CCS;Media;49029;Media;6;1;03/12/2020;08/04/2021;30/04/2021;09/05/2021;156
SDATOOL-9325;CCS;Alta;132971;Media;9;2;27/06/2024;30/05/2025;10/06/2025;11/06/2025;348
SDATOOL-5719;T&C;Alta;107407;Baja;10;2;12/02/2021;07/11/2021;20/11/2021;26/11/2021;286
SDATOOL-6717;CIB;Alta;126766;Alta;8;1;23/07/2019;17/02/2020;14/03/2020;24/03/2020;244
SDATOOL-5559;CIB;Media;81692;Media;9;1;23/05/2020;30/12/2020;18/01/2021;22/01/2021;243
SDATOOL-9807;FIN;Alta;136128;Media;3;3;02/02/2019;22/11/2019;02/12/2019;12/12/2019;312
SDATOOL-6269;GRM;Baja;56139;Baja;4;2;14/12/2022;25/04/2023;19/05/2023;29/05/2023;165
SDATOOL-1117;ENG;Alta;211843;Media;5;4;06/05/2024;27/05/2025;14/06/2025;20/06/2025;410
SDATOOL-5441;ENG;Alta;57928;Baja;4;2;24/02/2023;09/10/2023;18/10/2023;21/10/2023;238
SDATOOL-5887;GRM;Alta;306919;Alta;6;3;22/05/2024;01/04/2025;28/04/2025;05/05/2025;347
SDATOOL-1479;CCS;Alta;235883;Alta;9;2;05/08/2019;23/05/2020;08/06/2020;17/06/2020;316
SDATOOL-4564;RIC;Baja;213714;Media;9;3;05/07/2024;03/05/2025;19/05/2025;20/05/2025;318
SDATOOL-3572;CCS;Alta;469010;Alta;9;4;19/02/2019;22/06/2020;08/07/2020;16/07/2020;513
SDATOOL-3589;FIN;Media;95578;Media;3;2;22/03/2024;08/10/2024;20/10/2024;26/10/2024;217
