Código de proyecto;Área;Prioridad;Presupuesto;Complejidad técnica;Número de dependencias asociadas;Time to market teórico en Q's;Fecha de inicio de ejecución;Fecha fin de ejecución;Fecha pase a producción;Fecha de uso por el personal;Time to market
SDATOOL-4337;RCS;Alta;155411;Media;5;3;04/02/2022;04/10/2022;22/10/2022;30/10/2022;268
SDATOOL-6376;FIN;Baja;216742;Alta;8;2;24/08/2025;21/07/2026;12/08/2026;13/08/2026;354
SDATOOL-6955;FIN;Media;235132;Alta;10;2;30/01/2025;19/12/2025;13/01/2026;21/01/2026;356
SDATOOL-1836;ENG;Media;272275;Alta;5;3;16/04/2020;20/02/2021;06/03/2021;12/03/2021;330
SDATOOL-4474;ENG;Baja;205254;Media;7;3;02/11/2022;06/11/2023;27/11/2023;05/12/2023;398
SDATOOL-4420;RCS;Media;229469;Alta;2;3;09/12/2019;19/10/2020;14/11/2020;19/11/2020;346
SDATOOL-2338;RCS;Alta;200763;Media;7;3;22/02/2022;26/01/2023;03/02/2023;09/02/2023;352
SDATOOL-6943;GRM;Baja;152145;Alta;1;2;12/02/2023;20/09/2023;14/10/2023;22/10/2023;252
SDATOOL-4847;GRM;Alta;217416;Media;5;4;16/04/2024;11/04/2025;29/04/2025;01/05/2025;380
SDATOOL-9330;ENG;Media;126848;Alta;8;1;25/02/2022;07/09/2022;05/10/2022;10/10/2022;227
SDATOOL-3726;RIC;Media;172131;Media;4;3;08/05/2019;07/01/2020;29/01/2020;05/02/2020;273
SDATOOL-7741;GRM;Baja;78755;Alta;2;1;04/07/2020;01/11/2020;17/11/2020;24/11/2020;143
SDATOOL-1805;FIN;Alta;73166;Baja;5;2;19/10/2025;10/06/2026;17/06/2026;21/06/2026;245
SDATOOL-3383;CIB;Alta;218540;Media;10;3;10/10/2022;15/11/2023;05/12/2023;08/12/2023;424
SDATOOL-3351;RCS;Media;47022;Media;3;1;09/01/2021;16/03/2021;31/03/2021;09/04/2021;90
SDATOOL-1080;CCS;Media;191836;Media;2;4;27/01/2024;14/02/2025;07/03/2025;14/03/2025;412
SDATOOL-4023;FIN;Baja;229041;Alta;8;2;01/08/2022;23/05/2023;10/06/2023;14/06/2023;317
SDATOOL-3039;FIN;Alta;281769;Alta;5;3;24/09/2022;11/07/2023;05/08/2023;09/08/2023;319
SDATOOL-3905;FIN;Media;80198;Alta;1;1;18/06/2022;07/09/2022;27/09/2022;07/10/2022;111
SDATOOL-1076;FIN;Media;106111;Baja;6;3;10/12/2024;13/09/2025;28/09/2025;05/10/2025;299
SDATOOL-8892;GRM;Media;96031;Baja;3;3;20/08/2023;08/05/2024;30/05/2024;03/06/2024;288
SDATOOL-6015;CCS;Media;72125;Media;9;1;30/04/2024;19/11/2024;11/12/2024;12/12/2024;226
SDATOOL-6849;ENG;Media;132468;Baja;4;4;21/12/2019;29/11/2020;28/12/2020;07/01/2021;383
SDATOOL-3438;RIC;Baja;190875;Media;7;3;21/04/2022;07/04/2023;23/04/2023;03/05/2023;377
SDATOOL-9973;CCS;Media;35036;Baja;1;1;02/09/2021;30/11/2021;10/12/2021;16/12/2021;105
SDATOOL-6523;RCS;Media;44325;Media;4;1;01/10/2023;09/01/2024;25/01/2024;01/02/2024;123
SDATOOL-1094;FIN;Alta;354797;Alta;9;3;02/12/2021;22/03/2023;01/04/2023;05/04/2023;489
SDATOOL-8884;FIN;Alta;139497;Media;3;3;16/01/2023;11/10/2023;29/10/2023;08/11/2023;296
SDATOOL-8751;T&C;Alta;249150;Alta;10;2;06/02/2025;28/02/2026;15/03/2026;19/03/2026;406
SDATOOL-7501;FIN;Baja;200342;Media;7;3;29/06/2019;07/07/2020;30/07/2020;05/08/2020;403
SDATOOL-6725;RCS;Media;119099;Media;5;2;09/10/2020;02/05/2021;22/05/2021;26/05/2021;229
SDATOOL-9490;FIN;Alta;343414;Alta;9;3;29/05/2025;12/09/2026;23/09/2026;26/09/2026;485
SDATOOL-5924;RIC;Media;32709;Media;1;1;15/12/2025;27/03/2026;04/04/2026;13/04/2026;119
SDATOOL-2986;RIC;Media;58408;Media;5;1;09/08/2019;05/11/2019;25/11/2019;29/11/2019;112
SDATOOL-4517;FIN;Media;158623;Media;4;3;16/06/2019;09/04/2020;25/04/2020;05/05/2020;324
SDATOOL-1083;RIC;Alta;256071;Alta;4;3;23/09/2019;16/06/2020;11/07/2020;16/07/2020;297
SDATOOL-6018;ENG;Media;106640;Media;4;2;25/06/2024;25/12/2024;20/01/2025;25/01/2025;214
SDATOOL-7301;CIB;Media;110266;Alta;7;1;01/12/2024;13/08/2025;23/08/2025;31/08/2025;273
SDATOOL-7865;CCS;Media;97302;Media;2;2;13/05/2022;18/11/2022;02/12/2022;05/12/2022;206
SDATOOL-6438;GRM;Media;78810;Media;2;2;17/11/2025;06/05/2026;25/05/2026;02/06/2026;197
SDATOOL-5646;ENG;Baja;162760;Media;10;2;22/11/2019;10/09/2020;01/10/2020;05/10/2020;318
SDATOOL-6810;CCS;Baja;81351;Alta;5;1;02/03/2020;02/07/2020;18/07/2020;21/07/2020;141
SDATOOL-2559;T&C;Baja;195491;Media;7;3;05/10/2024;19/08/2025;16/09/2025;25/09/2025;355
SDATOOL-4226;RIC;Alta;237831;Media;5;4;03/08/2020;02/09/2021;21/09/2021;25/09/2021;418
SDATOOL-9618;CIB;Baja;77077;Alta;3;1;21/11/2022;05/04/2023;17/04/2023;23/04/2023;153
SDATOOL-4501;GRM;Baja;141870;Alta;1;2;04/04/2019;29/11/2019;22/12/2019;29/12/2019;269
SDATOOL-1870;CIB;Baja;259752;Alta;4;3;03/05/2023;16/03/2024;31/03/2024;03/04/2024;336
SDATOOL-9645;T&C;Media;146347;Media;8;2;16/09/2025;02/06/2026;15/06/2026;18/06/2026;275
SDATOOL-8503;CCS;Media;208064;Alta;6;2;23/08/2024;20/05/2025;13/06/2025;18/06/2025;299
SDATOOL-9286;RIC;Media;213875;Alta;6;2;03/10/2020;19/06/2021;09/07/2021;16/07/2021;286
SDATOOL-9704;GRM;Alta;47733;Media;3;1;28/07/2020;24/12/2020;12/01/2021;14/01/2021;170
SDATOOL-4679;CIB;Media;149514;Media;10;2;31/07/2025;26/04/2026;09/05/2026;19/05/2026;292
SDATOOL-2969;ENG;Baja;364158;Alta;10;3;08/01/2023;15/03/2024;03/04/2024;07/04/2024;455
SDATOOL-5788;RIC;Media;42031;Media;1;1;01/01/2025;26/03/2025;02/04/2025;10/04/2025;99
SDATOOL-2976;RCS;Alta;235816;Alta;2;3;08/02/2024;19/11/2024;12/12/2024;13/12/2024;309
SDATOOL-1257;CCS;Media;157316;Media;5;3;25/04/2021;18/01/2022;04/02/2022;05/02/2022;286
SDATOOL-9038;ENG;Baja;214137;Alta;7;2;12/07/2024;07/04/2025;25/04/2025;04/05/2025;296
SDATOOL-4591;ENG;Alta;89431;Alta;5;1;08/04/2021;04/09/2021;29/09/2021;09/10/2021;184
SDATOOL-9143;GRM;Alta;87113;Baja;6;2;16/09/2019;28/05/2020;26/06/2020;28/06/2020;286
SDATOOL-2876;FIN;Media;150723;Media;9;2;30/01/2025;10/10/2025;01/11/2025;11/11/2025;285
SDATOOL-2024;CCS;Media;109862;Alta;9;1;03/07/2019;26/01/2020;17/02/2020;20/02/2020;232
SDATOOL-9283;RIC;Alta;78169;Media;2;2;09/10/2021;23/06/2022;02/07/2022;05/07/2022;269
SDATOOL-1815;RCS;Media;144592;Alta;2;2;12/03/2024;16/10/2024;30/10/2024;03/11/2024;236
SDATOOL-9449;CCS;Baja;142229;Media;2;3;26/10/2022;01/08/2023;18/08/2023;22/08/2023;300
SDATOOL-5647;ENG;Media;79076;Baja;7;2;30/09/2025;06/05/2026;27/05/2026;28/05/2026;240
SDATOOL-6819;RIC;Alta;89740;Baja;5;2;15/01/2023;12/07/2023;22/07/2023;27/07/2023;193
SDATOOL-7148;CIB;Alta;129552;Media;7;2;30/10/2020;06/10/2021;30/10/2021;02/11/2021;368
SDATOOL-6146;ENG;Media;170489;Media;4;3;22/04/2019;14/02/2020;23/02/2020;27/02/2020;311
SDATOOL-5775;T&C;Alta;50428;Baja;3;2;27/05/2020;01/01/2021;19/01/2021;29/01/2021;247
SDATOOL-1613;ENG;Baja;225763;Alta;9;2;03/10/2020;08/08/2021;25/08/2021;03/09/2021;335
SDATOOL-5366;FIN;Baja;352802;Alta;4;4;20/11/2021;08/01/2023;21/01/2023;24/01/2023;430
SDATOOL-6656;CCS;Media;155440;Alta;3;2;26/05/2023;20/01/2024;27/01/2024;06/02/2024;256
SDATOOL-4325;GRM;Media;215914;Alta;2;3;08/12/2023;01/10/2024;19/10/2024;27/10/2024;324
SDATOOL-3023;FIN;Media;76294;Media;2;2;11/07/2023;31/01/2024;19/02/2024;20/02/2024;224
SDATOOL-7725;FIN;Alta;122680;Baja;2;4;29/03/2021;16/02/2022;03/03/2022;11/03/2022;347
SDATOOL-4368;RCS;Alta;364118;Alta;9;3;20/03/2021;09/04/2022;29/04/2022;01/05/2022;407
SDATOOL-9637;T&C;Media;162116;Baja;10;3;21/02/2023;23/01/2024;19/02/2024;29/02/2024;373
SDATOOL-1413;CCS;Media;92821;Baja;6;2;23/10/2024;01/07/2025;12/07/2025;19/07/2025;269
SDATOOL-5014;RCS;Media;139984;Media;9;2;17/11/2021;13/06/2022;22/06/2022;02/07/2022;227
SDATOOL-5548;FIN;Alta;241217;Media;7;4;18/11/2025;09/02/2027;17/02/2027;19/02/2027;458
SDATOOL-3779;ENG;Baja;218457;Alta;7;2;24/08/2025;21/07/2026;28/07/2026;01/08/2026;342
SDATOOL-2693;T&C;Media;107833;Media;3;2;06/11/2021;02/05/2022;16/05/2022;17/05/2022;192
SDATOOL-2815;RCS;Media;460829;Alta;9;4;14/05/2019;14/08/2020;11/09/2020;16/09/2020;491
SDATOOL-6941;ENG;Alta;226021;Media;9;3;20/12/2024;14/12/2025;04/01/2026;05/01/2026;381
SDATOOL-4077;FIN;Media;115853;Media;4;2;26/02/2020;20/08/2020;12/09/2020;22/09/2020;209
SDATOOL-1056;ENG;Media;48245;Media;4;1;28/04/2024;29/08/2024;05/09/2024;08/09/2024;133
SDATOOL-1896;RCS;Alta;83540;Media;2;2;17/09/2021;17/04/2022;09/05/2022;15/05/2022;240
SDATOOL-3886;CIB;Alta;94944;Media;1;2;27/04/2023;14/01/2024;29/01/2024;31/01/2024;279
SDATOOL-3945;GRM;Alta;109538;Media;5;2;21/06/2019;29/01/2020;15/02/2020;20/02/2020;244
SDATOOL-1814;ENG;Media;305242;Alta;6;3;09/11/2021;15/10/2022;29/10/2022;07/11/2022;363
SDATOOL-6283;FIN;Baja;112253;Alta;7;1;02/02/2025;29/07/2025;09/08/2025;14/08/2025;193
SDATOOL-4645;T&C;Baja;285569;Alta;5;3;30/03/2023;05/02/2024;04/03/2024;14/03/2024;350
SDATOOL-9993;ENG;Media;151592;Media;10;2;19/07/2019;05/05/2020;22/05/2020;01/06/2020;318
SDATOOL-1495;ENG;Baja;239066;Media;5;4;25/07/2021;06/07/2022;03/08/2022;09/08/2022;380
SDATOOL-3715;CIB;Media;176881;Alta;4;2;16/03/2025;29/10/2025;10/11/2025;19/11/2025;248
SDATOOL-9507;CCS;Media;173755;Media;5;3;22/02/2022;22/11/2022;06/12/2022;07/12/2022;288
SDATOOL-1356;FIN;Media;219522;Media;10;3;04/04/2024;27/03/2025;12/04/2025;16/04/2025;377
SDATOOL-4079;FIN;Baja;195730;Media;7;3;05/04/2022;11/03/2023;24/03/2023;25/03/2023;354
SDATOOL-8817;T&C;Alta;216440;Media;10;3;30/06/2024;25/06/2025;09/07/2025;10/07/2025;375
SDATOOL-3168;RCS;Baja;218599;Media;9;3;04/11/2024;28/09/2025;10/10/2025;14/10/2025;344
SDATOOL-9421;T&C;Baja;134816;Media;3;3;03/10/2023;06/07/2024;17/07/2024;25/07/2024;296
SDATOOL-7783;RIC;Media;82116;Media;2;2;04/04/2024;08/10/2024;18/10/2024;21/10/2024;200
SDATOOL-6069;GRM;Baja;239425;Media;10;3;04/12/2019;10/12/2020;25/12/2020;01/01/2021;394
SDATOOL-5232;RCS;Alta;111934;Baja;10;2;02/03/2021;29/01/2022;11/02/2022;16/02/2022;351
SDATOOL-3371;RIC;Media;154520;Alta;3;2;26/02/2020;18/09/2020;27/09/2020;29/09/2020;216
SDATOOL-4818;RIC;Media;313208;Alta;6;3;28/11/2024;23/10/2025;11/11/2025;17/11/2025;354
SDATOOL-2805;CCS;Baja;94490;Baja;10;2;02/04/2020;17/02/2021;06/03/2021;09/03/2021;341
SDATOOL-5050;T&C;Media;254532;Media;7;4;24/11/2025;04/01/2027;01/02/2027;05/02/2027;438
SDATOOL-7366;FIN;Media;230588;Media;6;4;17/05/2020;11/07/2021;05/08/2021;06/08/2021;446
SDATOOL-9029;CIB;Media;163536;Media;10;2;24/06/2021;30/03/2022;14/04/2022;20/04/2022;300
SDATOOL-4055;CCS;Media;89655;Media;10;1;24/04/2022;03/12/2022;31/12/2022;04/01/2023;255
SDATOOL-5694;RIC;Media;361691;Alta;9;3;12/11/2023;25/11/2024;11/12/2024;14/12/2024;398
SDATOOL-2706;RCS;Media;155190;Media;5;3;25/11/2024;15/08/2025;28/08/2025;30/08/2025;278
SDATOOL-7325;CCS;Media;136607;Baja;10;3;26/06/2020;01/08/2021;08/08/2021;14/08/2021;414
SDATOOL-8938;CCS;Media;86745;Baja;7;2;04/11/2023;04/06/2024;25/06/2024;27/06/2024;236
SDATOOL-6224;ENG;Alta;118020;Media;7;2;15/03/2021;13/01/2022;09/02/2022;11/02/2022;333
SDATOOL-8549;CIB;Media;239154;Alta;9;2;19/11/2022;09/11/2023;27/11/2023;04/12/2023;380
SDATOOL-8740;FIN;Alta;84488;Baja;3;3;16/02/2023;13/10/2023;04/11/2023;07/11/2023;264
SDATOOL-6536;GRM;Media;203965;Alta;7;2;09/01/2020;29/10/2020;21/11/2020;24/11/2020;320
SDATOOL-1788;FIN;Alta;155113;Media;3;3;09/11/2022;22/08/2023;29/08/2023;07/09/2023;302
SDATOOL-9044;CCS;Alta;150982;Media;1;4;06/12/2019;09/12/2020;24/12/2020;26/12/2020;386
SDATOOL-6333;CIB;Media;329959;Alta;8;3;29/01/2019;15/03/2020;07/04/2020;10/04/2020;437
SDATOOL-4549;ENG;Alta;82827;Baja;2;3;28/05/2024;08/02/2025;06/03/2025;12/03/2025;288
SDATOOL-9158;ENG;Alta;136312;Media;8;2;31/03/2020;23/01/2021;06/02/2021;09/02/2021;315
SDATOOL-2086;CIB;Baja;144842;Alta;1;2;28/02/2025;03/11/2025;13/11/2025;17/11/2025;262
SDATOOL-4361;GRM;Alta;213895;Media;8;3;15/02/2019;09/01/2020;31/01/2020;04/02/2020;354
SDATOOL-3253;GRM;Alta;127294;Baja;8;3;31/08/2021;16/08/2022;26/08/2022;04/09/2022;369
SDATOOL-4664;CCS;Media;223056;Media;9;3;20/07/2021;12/06/2022;02/07/2022;11/07/2022;356
SDATOOL-2817;CCS;Alta;163160;Baja;10;3;10/04/2023;10/02/2024;23/02/2024;01/03/2024;326
SDATOOL-9656;RCS;Media;129137;Media;2;3;12/10/2023;06/07/2024;28/07/2024;06/08/2024;299
SDATOOL-5693;CCS;Media;57545;Media;4;1;24/11/2019;28/02/2020;08/03/2020;11/03/2020;108
SDATOOL-7601;ENG;Media;319258;Alta;7;3;02/11/2024;18/12/2025;25/12/2025;04/01/2026;428
SDATOOL-5603;CCS;Media;132917;Media;1;3;04/05/2025;17/01/2026;02/02/2026;12/02/2026;284
SDATOOL-1757;RCS;Media;308123;Alta;7;3;18/11/2023;17/11/2024;05/12/2024;08/12/2024;386
SDATOOL-7149;GRM;Alta;301159;Alta;6;3;16/12/2019;13/11/2020;25/11/2020;05/12/2020;355
SDATOOL-5621;FIN;Alta;214481;Alta;7;2;04/12/2022;16/10/2023;29/10/2023;07/11/2023;338
SDATOOL-8485;T&C;Alta;125825;Baja;6;3;14/03/2023;10/01/2024;17/01/2024;23/01/2024;315
SDATOOL-1521;RCS;Alta;115081;Media;4;2;02/06/2021;11/01/2022;20/01/2022;21/01/2022;233
SDATOOL-3728;GRM;Media;96391;Baja;9;2;27/05/2020;06/12/2020;31/12/2020;06/01/2021;224
SDATOOL-8511;ENG;Media;276217;Alta;5;3;21/07/2019;09/06/2020;21/06/2020;23/06/2020;338
SDATOOL-9801;ENG;Media;217400;Alta;8;2;08/07/2025;09/06/2026;16/06/2026;19/06/2026;346
SDATOOL-6187;RCS;Baja;228708;Alta;9;2;11/12/2024;20/10/2025;16/11/2025;18/11/2025;342
SDATOOL-2788;RIC;Media;53705;Media;5;1;11/02/2021;15/04/2021;13/05/2021;15/05/2021;93
SDATOOL-7551;FIN;Media;254473;Media;6;4;12/05/2019;16/06/2020;10/07/2020;16/07/2020;431
SDATOOL-3137;GRM;Alta;187798;Alta;6;2;19/03/2023;01/03/2024;24/03/2024;03/04/2024;381
SDATOOL-1059;ENG;Media;146843;Media;10;2;09/06/2024;09/04/2025;22/04/2025;28/04/2025;323
SDATOOL-6032;ENG;Alta;296453;Media;10;4;17/07/2023;04/01/2025;23/01/2025;25/01/2025;558
SDATOOL-3970;GRM;Alta;344806;Alta;8;3;21/04/2025;13/06/2026;21/06/2026;23/06/2026;428
SDATOOL-7082;ENG;Alta;240182;Alta;9;2;29/03/2025;10/02/2026;07/03/2026;17/03/2026;353
SDATOOL-9003;RIC;Baja;66771;Media;10;1;05/10/2023;26/03/2024;09/04/2024;15/04/2024;193
SDATOOL-5975;RIC;Alta;159412;Media;3;3;13/04/2021;09/12/2021;03/01/2022;13/01/2022;275
SDATOOL-6432;RIC;Media;193328;Alta;1;3;13/12/2022;13/10/2023;31/10/2023;02/11/2023;324
SDATOOL-7281;RCS;Alta;133527;Media;6;2;21/07/2023;19/05/2024;01/06/2024;11/06/2024;326
SDATOOL-4358;ENG;Alta;59125;Baja;2;2;21/09/2021;12/04/2022;11/05/2022;16/05/2022;237
SDATOOL-7323;GRM;Media;299740;Alta;6;3;02/04/2022;06/05/2023;18/05/2023;20/05/2023;413
SDATOOL-1281;CIB;Media;216616;Media;8;3;02/09/2020;13/08/2021;06/09/2021;09/09/2021;372
SDATOOL-4198;ENG;Alta;206006;Media;3;4;04/08/2020;09/09/2021;01/10/2021;03/10/2021;425
SDATOOL-3210;CCS;Baja;139162;Baja;8;3;11/03/2023;13/01/2024;01/02/2024;08/02/2024;334
SDATOOL-8288;GRM;Alta;35386;Baja;3;1;15/07/2025;29/10/2025;10/11/2025;16/11/2025;124
SDATOOL-4515;GRM;Media;228991;Alta;2;3;15/03/2022;09/02/2023;20/02/2023;28/02/2023;350
SDATOOL-7380;T&C;Media;145479;Media;4;3;16/03/2020;31/12/2020;23/01/2021;24/01/2021;314
SDATOOL-3339;FIN;Baja;199202;Alta;5;2;19/08/2024;02/03/2025;19/03/2025;25/03/2025;218
SDATOOL-6554;FIN;Alta;91484;Baja;8;2;16/05/2019;23/01/2020;07/02/2020;10/02/2020;270
SDATOOL-4387;GRM;Alta;241533;Alta;10;2;11/09/2025;22/08/2026;05/09/2026;15/09/2026;369
SDATOOL-7543;ENG;Media;360236;Alta;4;4;03/08/2019;27/09/2020;16/10/2020;25/10/2020;449
SDATOOL-4189;FIN;Media;222389;Alta;7;2;31/03/2023;05/02/2024;27/02/2024;02/03/2024;337
