Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-7483,ENG,Alta,"253,711",Alta,4,26/04/2024,29/03/2025,08/06/2025,21/06/2025,23/06/2025,423
SDATOOL-5276,FIN,Media,"228,354",Alta,2,21/10/2022,13/10/2023,26/09/2023,17/10/2023,19/10/2023,363
SDATOOL-4862,GRM,Media,"155,752",Media,3,18/07/2021,06/02/2022,31/01/2022,21/02/2022,27/02/2022,224
SDATOOL-4544,FIN,Alta,"162,868",Media,5,09/10/2021,22/03/2022,05/02/2022,15/02/2022,20/02/2022,134
SDATOOL-9055,ENG,Media,"101,905",Baja,4,18/05/2025,18/08/2025,31/07/2025,21/08/2025,28/08/2025,102
SDATOOL-2775,CIB,Media,"212,264",Alta,2,15/09/2022,11/09/2023,08/09/2023,15/09/2023,24/09/2023,374
SDATOOL-8775,RCS,Baja,"182,515",Media,6,17/07/2019,20/02/2020,21/12/2019,19/01/2020,24/01/2020,191
SDATOOL-7239,ENG,Media,"180,738",Media,6,01/01/2019,22/07/2019,12/03/2019,05/04/2019,08/04/2019,97
SDATOOL-9678,GRM,Media,"84,876",Baja,2,02/02/2019,02/05/2019,29/04/2019,22/05/2019,27/05/2019,114
SDATOOL-4615,T&C,Baja,"89,310",Baja,1,10/06/2025,01/09/2025,19/07/2025,27/07/2025,04/08/2025,55
SDATOOL-9925,RCS,Alta,"223,909",Media,10,09/05/2019,09/01/2020,25/03/2020,02/04/2020,11/04/2020,338
SDATOOL-7002,ENG,Alta,"249,341",Alta,4,02/04/2020,13/02/2021,27/01/2021,21/02/2021,22/02/2021,326
SDATOOL-8092,ENG,Alta,"203,858",Media,9,09/06/2021,14/02/2022,11/03/2022,25/03/2022,26/03/2022,290
SDATOOL-6196,CIB,Media,"262,456",Alta,4,25/05/2019,11/05/2020,16/04/2020,05/05/2020,07/05/2020,348
SDATOOL-6175,GRM,Media,"250,754",Alta,3,14/10/2019,27/07/2020,10/07/2020,08/08/2020,16/08/2020,307
SDATOOL-3385,ENG,Media,"146,700",Media,4,01/10/2019,24/06/2020,25/05/2020,22/06/2020,02/07/2020,275
SDATOOL-8167,ENG,Media,"382,330",Alta,9,25/06/2020,18/06/2021,04/08/2021,30/08/2021,03/09/2021,435
SDATOOL-1039,ENG,Baja,"135,668",Media,1,19/11/2021,23/07/2022,29/06/2022,16/07/2022,24/07/2022,247
SDATOOL-6920,FIN,Media,"363,547",Alta,10,20/01/2022,07/11/2022,24/10/2022,02/11/2022,09/11/2022,293
SDATOOL-5864,FIN,Media,"238,601",Alta,3,18/10/2022,29/07/2023,21/06/2023,30/06/2023,05/07/2023,260
SDATOOL-6318,GRM,Media,"315,660",Alta,7,01/01/2019,05/12/2019,27/10/2019,17/11/2019,21/11/2019,324
SDATOOL-8507,CCS,Media,"125,317",Media,2,22/07/2019,09/01/2020,04/12/2019,22/12/2019,23/12/2019,154
SDATOOL-3018,ENG,Alta,"242,978",Alta,3,27/01/2024,10/11/2024,09/12/2024,01/01/2025,06/01/2025,345
SDATOOL-3443,RCS,Media,"257,064",Alta,3,17/04/2023,24/03/2024,14/03/2024,21/03/2024,29/03/2024,347
SDATOOL-9669,ENG,Media,"325,670",Alta,7,23/09/2023,27/07/2024,25/09/2024,13/10/2024,23/10/2024,396
SDATOOL-1879,ENG,Media,"133,153",Baja,3,25/04/2021,06/07/2021,25/06/2021,24/07/2021,31/07/2021,97
SDATOOL-5236,FIN,Media,"205,373",Media,8,01/01/2019,22/09/2019,07/12/2019,15/12/2019,23/12/2019,356
SDATOOL-2628,GRM,Media,"191,073",Media,7,05/06/2021,15/12/2021,17/12/2021,31/12/2021,09/01/2022,218
SDATOOL-6167,ENG,Media,"240,379",Alta,3,18/05/2021,24/03/2022,08/06/2022,22/06/2022,24/06/2022,402
SDATOOL-8717,RIC,Media,"126,934",Baja,6,06/05/2022,31/07/2022,28/07/2022,12/08/2022,15/08/2022,101
SDATOOL-9605,RCS,Baja,"123,957",Baja,4,08/01/2024,11/03/2024,17/05/2024,01/06/2024,02/06/2024,146
SDATOOL-3770,ENG,Media,"138,731",Baja,3,29/05/2019,20/10/2019,03/09/2019,26/09/2019,30/09/2019,124
SDATOOL-1722,CCS,Media,"122,187",Baja,3,05/12/2024,24/04/2025,25/04/2025,21/05/2025,31/05/2025,177
SDATOOL-2920,RIC,Media,"180,973",Media,6,17/04/2019,01/11/2019,27/09/2019,08/10/2019,15/10/2019,181
SDATOOL-3721,CCS,Media,"143,984",Baja,5,21/09/2022,14/12/2022,15/02/2023,03/03/2023,10/03/2023,170
SDATOOL-5141,ENG,Alta,"237,527",Media,4,01/01/2019,07/08/2019,07/05/2019,01/06/2019,06/06/2019,156
SDATOOL-3590,ENG,Baja,"115,279",Media,1,01/04/2024,24/10/2024,19/09/2024,06/10/2024,12/10/2024,194
SDATOOL-9152,CIB,Baja,"77,835",Baja,2,27/07/2020,27/10/2020,29/09/2020,26/10/2020,28/10/2020,93
SDATOOL-6186,CCS,Media,"176,880",Media,6,14/01/2020,03/08/2020,06/06/2020,25/06/2020,04/07/2020,172
SDATOOL-2720,GRM,Media,"239,215",Media,5,02/04/2022,13/10/2022,02/09/2022,22/09/2022,27/09/2022,178
SDATOOL-1612,ENG,Alta,"370,383",Alta,1,02/03/2024,04/12/2024,20/11/2024,29/11/2024,02/12/2024,275
SDATOOL-7263,T&C,Media,"143,238",Media,2,18/12/2024,16/06/2025,12/05/2025,01/06/2025,08/06/2025,172
SDATOOL-3599,FIN,Media,"192,797",Media,6,02/08/2024,08/03/2025,03/02/2025,21/02/2025,01/03/2025,211
SDATOOL-6437,RIC,Baja,"104,771",Baja,4,25/04/2022,27/06/2022,24/06/2022,14/07/2022,23/07/2022,89
SDATOOL-7067,FIN,Baja,"156,392",Baja,4,15/12/2024,15/04/2025,06/04/2025,25/04/2025,03/05/2025,139
SDATOOL-4598,ENG,Media,"144,130",Media,4,26/07/2024,28/01/2025,26/01/2025,19/02/2025,20/02/2025,209
SDATOOL-9395,ENG,Alta,"200,929",Alta,1,13/12/2019,22/11/2020,17/11/2020,30/11/2020,08/12/2020,361
SDATOOL-1623,ENG,Alta,"220,046",Media,2,03/05/2020,21/01/2021,27/12/2020,22/01/2021,29/01/2021,271
SDATOOL-1014,T&C,Baja,"76,243",Baja,2,02/04/2022,18/07/2022,22/06/2022,09/07/2022,15/07/2022,104
SDATOOL-5882,CIB,Baja,"86,911",Baja,5,22/04/2019,27/07/2019,04/08/2019,18/08/2019,25/08/2019,125
SDATOOL-9336,RIC,Media,"139,571",Baja,3,04/12/2024,07/04/2025,31/03/2025,07/04/2025,17/04/2025,134
SDATOOL-7552,GRM,Alta,"179,445",Media,5,02/03/2023,19/08/2023,25/07/2023,03/08/2023,06/08/2023,157
SDATOOL-9503,T&C,Media,"148,137",Baja,3,24/02/2025,20/05/2025,14/05/2025,01/06/2025,02/06/2025,98
SDATOOL-1194,RCS,Media,"211,331",Media,4,13/03/2023,03/09/2023,29/07/2023,15/08/2023,18/08/2023,158
SDATOOL-6381,ENG,Baja,"143,555",Media,3,15/10/2019,17/03/2020,11/02/2020,07/03/2020,11/03/2020,148
SDATOOL-5953,GRM,Media,"141,735",Baja,1,03/03/2022,08/05/2022,26/04/2022,15/05/2022,21/05/2022,79
SDATOOL-3158,GRM,Alta,"131,012",Baja,4,02/11/2021,03/02/2022,06/12/2021,29/12/2021,05/01/2022,64
SDATOOL-8694,RIC,Baja,"178,736",Media,6,21/04/2023,28/12/2023,21/11/2023,15/12/2023,22/12/2023,245
SDATOOL-4297,CCS,Media,"269,286",Alta,4,04/09/2022,27/06/2023,27/06/2023,10/07/2023,19/07/2023,318
SDATOOL-5295,FIN,Media,"126,153",Baja,7,05/06/2022,22/09/2022,06/09/2022,24/09/2022,26/09/2022,113
SDATOOL-6940,FIN,Media,"225,622",Media,4,30/12/2022,14/06/2023,08/05/2023,18/05/2023,21/05/2023,142
SDATOOL-4731,RIC,Baja,"98,915",Baja,5,24/03/2022,30/06/2022,06/06/2022,25/06/2022,02/07/2022,100
SDATOOL-5302,RIC,Alta,"206,298",Media,2,22/02/2023,25/07/2023,08/10/2023,26/10/2023,29/10/2023,249
SDATOOL-5752,ENG,Alta,"139,988",Media,3,12/02/2021,09/09/2021,04/09/2021,29/09/2021,30/09/2021,230
SDATOOL-3070,GRM,Media,"363,112",Alta,5,28/06/2021,30/03/2022,09/03/2022,19/03/2022,20/03/2022,265
SDATOOL-9933,CIB,Media,"137,994",Baja,1,01/10/2023,20/12/2023,20/11/2023,18/12/2023,25/12/2023,85
SDATOOL-8286,ENG,Alta,"272,990",Alta,4,14/02/2019,01/12/2019,04/03/2020,21/03/2020,26/03/2020,406
SDATOOL-2242,ENG,Alta,"197,631",Alta,1,31/10/2021,23/08/2022,08/11/2022,01/12/2022,03/12/2022,398
SDATOOL-1763,RIC,Alta,"120,380",Baja,2,12/10/2020,05/01/2021,31/10/2020,27/11/2020,06/12/2020,55
SDATOOL-8189,ENG,Media,"266,864",Alta,4,01/09/2021,04/08/2022,02/08/2022,12/08/2022,14/08/2022,347
SDATOOL-9590,FIN,Alta,"223,655",Alta,2,27/07/2023,29/06/2024,28/07/2024,09/08/2024,14/08/2024,384
SDATOOL-8778,CCS,Media,"117,447",Baja,5,07/06/2022,08/10/2022,12/08/2022,04/09/2022,08/09/2022,93
SDATOOL-2563,T&C,Media,"150,685",Baja,5,31/07/2022,02/12/2022,10/02/2023,09/03/2023,18/03/2023,230
SDATOOL-1261,ENG,Media,"238,262",Media,1,01/01/2019,22/07/2019,18/08/2019,25/08/2019,01/09/2019,243
SDATOOL-8787,RCS,Alta,"203,497",Alta,1,28/02/2020,13/12/2020,19/01/2021,28/01/2021,02/02/2021,340
SDATOOL-9781,FIN,Media,"250,556",Alta,4,17/07/2023,07/07/2024,09/07/2024,30/07/2024,01/08/2024,381
SDATOOL-3020,ENG,Alta,"234,531",Alta,3,13/02/2024,30/11/2024,15/02/2025,15/03/2025,23/03/2025,404
SDATOOL-2777,FIN,Media,"305,509",Alta,6,15/06/2024,21/03/2025,19/04/2025,16/05/2025,20/05/2025,339
SDATOOL-9719,RCS,Alta,"182,931",Media,7,29/04/2021,19/10/2021,10/09/2021,27/09/2021,05/10/2021,159
SDATOOL-5330,FIN,Alta,"178,205",Media,7,21/07/2020,28/02/2021,12/02/2021,09/03/2021,12/03/2021,234
SDATOOL-5224,ENG,Media,"311,762",Alta,7,14/10/2020,30/07/2021,26/09/2021,04/10/2021,14/10/2021,365
SDATOOL-9843,RIC,Alta,"208,256",Media,4,01/01/2019,30/06/2019,14/06/2019,12/07/2019,21/07/2019,201
SDATOOL-7342,T&C,Media,"95,349",Baja,3,08/02/2023,27/06/2023,18/06/2023,26/06/2023,29/06/2023,141
SDATOOL-5591,CIB,Alta,"144,868",Media,2,08/11/2024,02/05/2025,01/04/2025,28/04/2025,02/05/2025,175
SDATOOL-8631,ENG,Media,"130,914",Baja,6,11/10/2023,29/01/2024,19/01/2024,07/02/2024,13/02/2024,125
SDATOOL-1741,CIB,Media,"135,596",Baja,4,03/12/2024,30/03/2025,10/03/2025,06/04/2025,08/04/2025,126
SDATOOL-3692,RIC,Media,"124,282",Baja,5,14/04/2022,11/07/2022,19/07/2022,29/07/2022,08/08/2022,116
SDATOOL-6048,GRM,Alta,"182,896",Media,5,13/08/2024,25/03/2025,06/04/2025,14/04/2025,19/04/2025,249
